lexeme_id	Orthography	Lexical entry	Glossing label	Perfective, Gender 3	Imperfective, Gender 3	Infinitive, Gender 3	Imperative, Gender 3	Prohibitive, Gender 3
v206		wɨcʼɨ́rcʼɨr	sting	wɨcʼɨ́rcʼɨr	wɨcʼɨrcʼara	выцӀы́рцӀас	выцӀы́рцӀа	мо́врыцӀ
v207		wɨ́gara (IPFV)	want	NO FORM	wɨ́gara	wɨ́gas	wɨ́ga	ма́выг
v208		wɨgɨ́r	fetch	wɨgɨ́r	wɨgɨ́rgara	wɨgɨ́rgas	wɨgɨ́rga	máwɨg ~ мо́выг
v209		wɨxɨ́r	go_to	wɨxɨ́r	NO FORM	выруъус	wɨrɨ́χa ~ выры́х	máwuʁˁ ~ моӀвугъ
v210		wɨzɨ́rzɨr	overflow	wɨzɨ́rzɨr	wɨzɨ́rzara	вызы́рзас	вызы́рза	мо́Ӏвырз
v211		wɨ́ʔɨr ~ howʔɨr ~ háwɨʔr	do	wɨ́ʔɨr ~ howʔɨr ~ háwɨʔr	wáʔara	wáʔas	waʔ(a)	máwaʔ
v212		wucʼúr	tear_off	wucʼúr	wucʼára	вуцӀа́с	вуцӀа́	мо́выцӀ
v213		wúlqur	play	wúlqur	wúlqara	wúlqas	wúlqa	máwulq ~ мо́влухъ
v214		wurúʔura (IPFV)	become.IPFV	NO FORM	wurúʔura	wurúʔus ~ вы́кыс	wiš	máˁwuˁʁ
v215		wurúˁχuˁr	mill.v	wurúˁχuˁr	wurúˁχara	wurúˁχas	wurúˁχa	máˁwrúˁχ
v216		wúxur	cook	wúxur	wúrxʷara	ву́хьвас	wúxa ~ ву́хьва	mówrux ~ ма́врух
v217		wuxúr	say	wuxúr	wuruxar	huxús (4)	йихьʼа́ (4)	ма́рухь (4)
v218		wuχúr	bore	wuχúr	wúχara	ву́хас	wúχa	ма́вух
v219		χáčʼipχɨr	PV-throw	χáčʼipχɨr	χáčʼwilχara	χáčʼipχas	χáčʼipχa	χáčʼmelwiχ ~ χáčʼmewlɨχ
v220		χówq’ur	PV-grab	χówq’ur	χówq’ura	χówq’as	χówq’	χomówrɨq’
